e_id,s_id,c_id,instructor_id,enrollment_date,marks_scored,grade,attendance_percentage,payment_status,tuition_amount
1151,41,105,209,2024-06-05,91,A,96.2,Paid,3850.25
1152,42,110,214,2024-06-10,83,B,89.7,Paid,3280.50
1153,43,115,218,2024-06-15,78,C,87.3,Pending,3120.75
1154,44,103,206,2024-06-20,95,A,98.1,Paid,4050.00
1155,45,108,212,2024-06-25,86,B,92.4,Paid,3480.25
1156,46,113,216,2024-07-01,80,B,88.9,Pending,3180.50
1157,47,106,210,2024-07-05,93,A,97.5,Paid,3920.75
1158,48,111,215,2024-07-10,88,B,93.2,Paid,3620.00
1159,49,104,207,2024-07-15,75,C,85.8,Pending,2980.50
1160,50,109,213,2024-07-20,97,A,99.0,Paid,4150.25
1161,21,114,217,2024-07-25,84,B,90.6,Paid,3380.50
1162,22,102,204,2024-08-01,92,A,96.8,Paid,3780.75
1163,23,107,211,2024-08-05,79,C,87.9,Pending,3050.00
1164,24,112,216,2024-08-10,89,B,94.3,Paid,3720.25
1165,25,105,208,2024-08-15,94,A,97.7,Paid,4020.50
