e_id,s_id,c_id,instructor_id,enrollment_date,marks_scored,grade,attendance_percentage,payment_status,tuition_amount
1001,3,105,209,9/15/2023,88,B,92.35,Paid,3250.75
1002,7,112,215,8/22/2023,95,A,97.8,Paid,4120.5
1003,2,108,203,10/5/2023,76,C,85.6,Pending,2890.25
1004,9,117,220,7/30/2023,82,B,89.75,Paid,3780
1005,5,103,207,11/12/2023,91,A,94.2,Paid,3560.5
1006,1,110,212,9/28/2023,79,C,87.9,Pending,3150.75
1007,8,115,218,8/7/2023,93,A,96.5,Paid,4350.25
1008,4,101,201,10/20/2023,85,B,91.3,Paid,3420
1009,10,119,206,7/15/2023,72,C,83.75,Pending,2780.5
1010,6,107,214,11/3/2023,89,B,93.8,Paid,3890.25
1011,3,113,210,9/10/2023,94,A,98.2,Paid,4080.75
1012,7,102,204,8/18/2023,81,B,88.9,Paid,3320.5
1013,2,118,219,10/25/2023,77,C,86.4,Pending,2950.25
1014,9,106,211,7/5/2023,90,A,95.6,Paid,3720
1015,5,114,217,11/15/2023,86,B,92.7,Paid,3480.5
1016,1,109,205,9/20/2023,73,C,84.3,Pending,2840.75
1017,8,116,213,8/12/2023,96,A,99.1,Paid,4280.25
1018,4,120,202,10/8/2023,83,B,90.5,Paid,3650
1019,10,104,208,7/25/2023,78,C,87.2,Pending,3050.5
1020,6,111,216,11/7/2023,92,A,96.8,Paid,3980.25
1021,3,118,220,9/5/2023,87,B,93.4,Paid,3590.75
1022,7,105,209,8/28/2023,80,B,89.6,Paid,3180.5
1023,2,112,215,10/15/2023,97,A,99.5,Paid,4420.25
1024,9,108,203,7/10/2023,75,C,85.8,Pending,2920
1025,5,117,220,11/20/2023,89,B,94.7,Paid,3850.5
1026,1,103,207,9/25/2023,93,A,97.3,Paid,4150.75
1027,8,110,212,8/3/2023,82,B,90.2,Paid,3380.25
1028,4,115,218,10/30/2023,76,C,86.9,Pending,3020
1029,10,101,201,7/20/2023,91,A,95.8,Paid,3920.5
1030,6,119,206,11/1/2023,84,B,91.6,Paid,3520.25
1031,7,118,215,12/28/2023,91,A,95.32,Paid,3567.89
1032,3,105,208,1/15/2024,78,C,87.45,Pending,2980.5
1033,9,112,220,11/30/2023,85,B,92.18,Paid,3245.75
1034,2,121,203,2/10/2024,93,A,97.6,Paid,4120.25
1035,5,109,217,1/5/2024,82,B,89.75,Pending,3150
1036,10,115,206,12/20/2023,76,C,85.9,Paid,2875.5
1037,1,124,212,2/22/2024,88,B,93.4,Paid,3780.25
1038,8,103,219,1/18/2024,95,A,98.15,Paid,4250.75
1039,4,119,205,11/25/2023,80,B,88.6,Pending,3050.5
1040,6,107,214,2/5/2024,87,B,91.8,Paid,3450
1041,3,122,210,1/10/2024,92,A,96.25,Paid,3950.25
1042,9,111,218,12/15/2023,79,C,86.7,Pending,2920.75
1043,2,125,204,2/18/2024,94,A,97.9,Paid,4180.5
1044,7,102,216,1/22/2024,83,B,90.55,Paid,3320.25
1045,5,120,209,12/5/2023,77,C,85.3,Pending,2790
1046,10,106,213,2/12/2024,89,B,94.7,Paid,3680.75
1047,1,117,207,1/8/2024,96,A,98.8,Paid,4350.5
1048,8,114,221,11/20/2023,81,B,88.95,Pending,3180.25
1049,4,123,211,2/25/2024,90,A,95.6,Paid,3850
1050,6,110,202,1/12/2024,84,B,91.2,Paid,3420.75
1051,21,103,205,1/15/2024,88,B,92.5,Paid,3250.75
1052,22,107,210,2/1/2024,95,A,97.8,Paid,3780.5
1053,23,112,215,1/20/2024,76,C,85.3,Pending,2980.25
1054,24,105,208,2/10/2024,92,A,94.7,Paid,3450
1055,25,110,213,1/25/2024,85,B,90.2,Paid,3180.75
1056,26,115,218,2/5/2024,79,C,87.6,Pending,3020.5
1057,27,108,211,1/30/2024,91,A,95.9,Paid,3680.25
1058,28,113,216,2/15/2024,83,B,89.4,Paid,3320
1059,29,106,209,1/10/2024,77,C,86.1,Pending,2890.5
1060,30,111,214,2/20/2024,94,A,98.3,Paid,3920.75
1061,31,104,207,1/5/2024,87,B,91.8,Paid,3550.25
1062,32,109,212,2/25/2024,81,B,88.7,Paid,3150
1063,33,114,217,1/12/2024,93,A,96.5,Paid,3850.5
1064,34,102,203,3/1/2024,78,C,86.9,Pending,2950.75
1065,35,107,210,1/18/2024,90,A,94.2,Paid,3720.25
1066,36,112,215,3/5/2024,84,B,89.8,Paid,3280
1067,37,105,208,1/22/2024,96,A,98.7,Paid,4050.5
1068,38,110,213,3/10/2024,80,B,87.5,Paid,3080.75
1069,39,115,218,1/28/2024,89,B,93.1,Paid,3620.25
1070,40,108,211,3/15/2024,82,B,88.9,Paid,3220
1071,41,113,216,2/2/2024,97,A,99.1,Paid,4180.5
1072,42,106,209,3/20/2024,75,C,85.7,Pending,2920.75
1073,43,111,214,2/8/2024,86,B,91.4,Paid,3480.25
1074,44,104,207,3/25/2024,92,A,95.6,Paid,3780
1075,45,109,212,2/12/2024,79,C,87.2,Pending,3050.5
1076,46,114,217,3/30/2024,94,A,97.3,Paid,3980.75
1077,47,102,203,2/18/2024,83,B,89.6,Paid,3250.25
1078,48,107,210,4/5/2024,91,A,95.1,Paid,3750
1079,49,112,215,2/22/2024,77,C,86.4,Pending,2980.5
1080,50,105,208,4/10/2024,95,A,98.5,Paid,4020.75
1081,21,110,213,2/28/2024,81,B,88.3,Paid,3180.25
1082,22,115,218,4/15/2024,93,A,96.9,Paid,3880
1083,23,108,211,3/5/2024,78,C,87.1,Pending,3020.5
1084,24,113,216,4/20/2024,89,B,93.7,Paid,3580.75
